"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME",Value,"Flag Codes"
"AUS","GNI","TOT","USD_CAP","A",1994,20612,
"AUS","GNI","TOT","USD_CAP","A",1995,21561,
"AUS","GNI","TOT","USD_CAP","A",1996,22438,
"AUS","GNI","TOT","USD_CAP","A",1997,23632,
"AUS","GNI","TOT","USD_CAP","A",1998,24829,
"AUS","GNI","TOT","USD_CAP","A",1999,26315,
"AUS","GNI","TOT","USD_CAP","A",2000,27459,
"AUS","GNI","TOT","USD_CAP","A",2001,28691,
"AUS","GNI","TOT","USD_CAP","A",2002,29874,
"AUS","GNI","TOT","USD_CAP","A",2003,31327,
"AUS","GNI","TOT","USD_CAP","A",2004,32607,
"AUS","GNI","TOT","USD_CAP","A",2005,34185,
"AUS","GNI","TOT","USD_CAP","A",2006,36155,
"AUS","GNI","TOT","USD_CAP","A",2007,37977,
"AUS","GNI","TOT","USD_CAP","A",2008,38688,
"AUS","GNI","TOT","USD_CAP","A",2009,39997,
"AUS","GNI","TOT","USD_CAP","A",2010,41069,
"AUS","GNI","TOT","USD_CAP","A",2011,43068,
"AUS","GNI","TOT","USD_CAP","A",2012,42787,
"AUS","GNI","TOT","USD_CAP","A",2013,46511,
"AUS","GNI","TOT","USD_CAP","A",2014,46670,
"AUS","GNI","TOT","USD_CAP","A",2015,46197,
"AUS","GNI","TOT","USD_CAP","A",2016,48870,
"AUS","GNI","TOT","USD_CAP","A",2017,49241,
"AUS","GNI","TOT","USD_CAP","A",2018,51390,
"AUS","GNI","TOT","USD_CAP","A",2019,51971,
"CAN","GNI","TOT","USD_CAP","A",1970,4469,"E"
"CAN","GNI","TOT","USD_CAP","A",1971,4820,"
"CAN","GNI","TOT","USD_CAP","A",1972,5252,"E"
"CAN","GNI","TOT","USD_CAP","A",1973,5853,"E"
"CAN","GNI","TOT","USD_CAP","A",1974,6519,"E"
"CAN","GNI","TOT","USD_CAP","A",1975,7135,"E"
"CAN","GNI","TOT","USD_CAP","A",1976,7809,"E"
"CAN","GNI","TOT","USD_CAP","A",1977,8454,"E"
"CAN","GNI","TOT","USD_CAP","A",1978,9260,"E"
"CAN","GNI","TOT","USD_CAP","A",1979,10279,"E"
"CAN","GNI","TOT","USD_CAP","A",1980,11326,"E"
"CAN","GNI","TOT","USD_CAP","A",1981,12645,
"CAN","GNI","TOT","USD_CAP","A",1982,12830,
"CAN","GNI","TOT","USD_CAP","A",1983,13618,
"CAN","GNI","TOT","USD_CAP","A",1984,14777,
"CAN","GNI","TOT","USD_CAP","A",1985,15828,
"CAN","GNI","TOT","USD_CAP","A",1986,16278,
"CAN","GNI","TOT","USD_CAP","A",1987,17182,
"CAN","GNI","TOT","USD_CAP","A",1988,18305,
"CAN","GNI","TOT","USD_CAP","A",1989,19077,
"CAN","GNI","TOT","USD_CAP","A",1990,19495,
"CAN","GNI","TOT","USD_CAP","A",1991,19547,
"CAN","GNI","TOT","USD_CAP","A",1992,19880,
"CAN","GNI","TOT","USD_CAP","A",1993,20704,
"CAN","GNI","TOT","USD_CAP","A",1994,21814,
"CAN","GNI","TOT","USD_CAP","A",1995,22668,
"CAN","GNI","TOT","USD_CAP","A",1996,23243,
"CAN","GNI","TOT","USD_CAP","A",1997,24467,
"CAN","GNI","TOT","USD_CAP","A",1998,25425,
"CAN","GNI","TOT","USD_CAP","A",1999,26904,
"CAN","GNI","TOT","USD_CAP","A",2000,28592,
"CAN","GNI","TOT","USD_CAP","A",2001,29363,
"CAN","GNI","TOT","USD_CAP","A",2002,30179,
"CAN","GNI","TOT","USD_CAP","A",2003,31538,
"CAN","GNI","TOT","USD_CAP","A",2004,3318
"CAN","GNI","TOT","USD_CAP","A",2005,35584,
"CAN","GNI","TOT","USD_CAP","A",2006,37500,
"CAN","GNI","TOT","USD_CAP","A",2007,38973,
"CAN","GNI","TOT","USD_CAP","A",2008,39783,
"CAN","GNI","TOT","USD_CAP","A",2009,38224,
"CAN","GNI","TOT","USD_CAP","A",2010,39321,
"CAN","GNI","TOT","USD_CAP","A",2011,40879,
"CAN","GNI","TOT","USD_CAP","A",2012,41540,
"CAN","GNI","TOT","USD_CAP","A",2013,43623,
"CAN","GNI","TOT","USD_CAP","A",2014,45014,
"CAN","GNI","TOT","USD_CAP","A",2015,43985,
"CAN","GNI","TOT","USD_CAP","A",2016,45904,
"CAN","GNI","TOT","USD_CAP","A",2017,47702,
"CAN","GNI","TOT","USD_CAP","A",2018,49391,
"CAN","GNI","TOT","USD_CAP","A",2019,50011,
"CAN","GNI","TOT","USD_CAP","A",2020,47575,
"FIN","GNI","TOT","USD_CAP","A",1970,3407,"E"
"FIN","GNI","TOT","USD_CAP","A",1971,3658,"E"
"FIN","GNI","TOT","USD_CAP","A",1972,4082,"E"
"FIN","GNI","TOT","USD_CAP","A",1973,4580,"E"
"FIN","GNI","TOT","USD_CAP","A",1974,5125,"E"
"FIN","GNI","TOT","USD_CAP","A",1975,5661,"E"
"FIN","GNI","TOT","USD_CAP","A",1976,5969,"E"
"FIN","GNI","TOT","USD_CAP","A",1977,6317,"E"
"FIN","GNI","TOT","USD_CAP","A",1978,6941,"E"
"FIN","GNI","TOT","USD_CAP","A",1979,8049,"E"
"FIN","GNI","TOT","USD_CAP","A",1980,9219,"E"
"FIN","GNI","TOT","USD_CAP","A",1981,10121,"E"
"FIN","GNI","TOT","USD_CAP","A",1982,10996,"E"
"FIN","GNI","TOT","USD_CAP","A",1983,11691,"E"
"FIN","GNI","TOT","USD_CAP","A",1984,12445,"E"
"FIN","GNI","TOT","USD_CAP","A",1985,13254,"E"
"FIN","GNI","TOT","USD_CAP","A",1986,13885,"E"
"FIN","GNI","TOT","USD_CAP","A",1987,14681,"E"
"FIN","GNI","TOT","USD_CAP","A",1988,15973,"E"
"FIN","GNI","TOT","USD_CAP","A",1989,17183,"E"
"FIN","GNI","TOT","USD_CAP","A",1990,17790,"E"
"FIN","GNI","TOT","USD_CAP","A",1991,17036,"E"
"FIN","GNI","TOT","USD_CAP","A",1992,16533,"E"
"FIN","GNI","TOT","USD_CAP","A",1993,16620,"E"
"FIN","GNI","TOT","USD_CAP","A",1994,17703,"E"
"FIN","GNI","TOT","USD_CAP","A",1995,18968,
"FIN","GNI","TOT","USD_CAP","A",1996,19586,
"FIN","GNI","TOT","USD_CAP","A",1997,21461,
"FIN","GNI","TOT","USD_CAP","A",1998,23121,
"FIN","GNI","TOT","USD_CAP","A",1999,24519,
"FIN","GNI","TOT","USD_CAP","A",2000,26629,
"FIN","GNI","TOT","USD_CAP","A",2001,27797,
"FIN","GNI","TOT","USD_CAP","A",2002,28691,
"FIN","GNI","TOT","USD_CAP","A",2003,28850,
"FIN","GNI","TOT","USD_CAP","A",2004,31395,
"FIN","GNI","TOT","USD_CAP","A",2005,32185,
"FIN","GNI","TOT","USD_CAP","A",2006,34721,
"FIN","GNI","TOT","USD_CAP","A",2007,37903,
"FIN","GNI","TOT","USD_CAP","A",2008,40150,
"FIN","GNI","TOT","USD_CAP","A",2009,38471,
"FIN","GNI","TOT","USD_CAP","A",2010,39490,
"FIN","GNI","TOT","USD_CAP","A",2011,41073,
"FIN","GNI","TOT","USD_CAP","A",2012,41063,
"FIN","GNI","TOT","USD_CAP","A",2013,41663,
"FIN","GNI","TOT","USD_CAP","A",2014,42167,
"FIN","GNI","TOT","USD_CAP","A",2015,42908,
"FIN","GNI","TOT","USD_CAP","A",2016,45139,
"FIN","GNI","TOT","USD_CAP","A",2017,47594,
"FIN","GNI","TOT","USD_CAP","A",2018,49900,
"FIN","GNI","TOT","USD_CAP","A",2019,51781,
"FIN","GNI","TOT","USD_CAP","A",2020,51600,
"NZL","GNI","TOT","USD_CAP","A",1970,3795,"E"
"NZL","GNI","TOT","USD_CAP","A",1971,4166,
"NZL","GNI","TOT","USD_CAP","A",1972,4515,
"NZL","GNI","TOT","USD_CAP","A",1973,4912,
"NZL","GNI","TOT","USD_CAP","A",1974,5544,
"NZL","GNI","TOT","USD_CAP","A",1975,6083,
"NZL","GNI","TOT","USD_CAP","A",1976,6328,
"NZL","GNI","TOT","USD_CAP","A",1977,6263,
"NZL","GNI","TOT","USD_CAP","A",1978,6971,
"NZL","GNI","TOT","USD_CAP","A",1979,7517,
"NZL","GNI","TOT","USD_CAP","A",1980,8257,
"NZL","GNI","TOT","USD_CAP","A",1981,9274,
"NZL","GNI","TOT","USD_CAP","A",1982,10036,
"NZL","GNI","TOT","USD_CAP","A",1983,10661,
"NZL","GNI","TOT","USD_CAP","A",1984,11496,
"NZL","GNI","TOT","USD_CAP","A",1985,11750,
"NZL","GNI","TOT","USD_CAP","A",1986,12560,
"NZL","GNI","TOT","USD_CAP","A",1987,12656,
"NZL","GNI","TOT","USD_CAP","A",1988,13134,
"NZL","GNI","TOT","USD_CAP","A",1989,13701,
"NZL","GNI","TOT","USD_CAP","A",1990,14057,
"NZL","GNI","TOT","USD_CAP","A",1991,13543,
"NZL","GNI","TOT","USD_CAP","A",1992,13910,
"NZL","GNI","TOT","USD_CAP","A",1993,1475
"NZL","GNI","TOT","USD_CAP","A",1994,15870,
"NZL","GNI","TOT","USD_CAP","A",1995,16705,
"NZL","GNI","TOT","USD_CAP","A",1996,17019,
"NZL","GNI","TOT","USD_CAP","A",1997,17938,
"NZL","GNI","TOT","USD_CAP","A",1998,18422,
"NZL","GNI","TOT","USD_CAP","A",1999,19308,
"NZL","GNI","TOT","USD_CAP","A",2000,20251,
"NZL","GNI","TOT","USD_CAP","A",2001,21254,
"NZL","GNI","TOT","USD_CAP","A",2002,22012,
"NZL","GNI","TOT","USD_CAP","A",2003,22722,
"NZL","GNI","TOT","USD_CAP","A",2004,23587,
"NZL","GNI","TOT","USD_CAP","A",2005,23936,
"NZL","GNI","TOT","USD_CAP","A",2006,25807,
"NZL","GNI","TOT","USD_CAP","A",2007,27187,
"NZL","GNI","TOT","USD_CAP","A",2008,27590,
"NZL","GNI","TOT","USD_CAP","A",2009,29337,
"NZL","GNI","TOT","USD_CAP","A",2010,29604,
"NZL","GNI","TOT","USD_CAP","A",2011,31158,
"NZL","GNI","TOT","USD_CAP","A",2012,31546,
"NZL","GNI","TOT","USD_CAP","A",2013,34662,
"NZL","GNI","TOT","USD_CAP","A",2014,35591,
"NZL","GNI","TOT","USD_CAP","A",2015,36011,
"NZL","GNI","TOT","USD_CAP","A",2016,38440,
"NZL","GNI","TOT","USD_CAP","A",2017,40497,
"NZL","GNI","TOT","USD_CAP","A",2018,42175,
"NZL","GNI","TOT","USD_CAP","A",2019,43649,"P"
"USA","GNI","TOT","USD_CAP","A",1970,5238,
"USA","GNI","TOT","USD_CAP","A",1971,5599,
"USA","GNI","TOT","USD_CAP","A",1972,6099,
"USA","GNI","TOT","USD_CAP","A",1973,6755,
"USA","GNI","TOT","USD_CAP","A",1974,7261,
"USA","GNI","TOT","USD_CAP","A",1975,7799,
"USA","GNI","TOT","USD_CAP","A",1976,8572,
"USA","GNI","TOT","USD_CAP","A",1977,9454,
"USA","GNI","TOT","USD_CAP","A",1978,10555,
"USA","GNI","TOT","USD_CAP","A",1979,11613,
"USA","GNI","TOT","USD_CAP","A",1980,12502,
"USA","GNI","TOT","USD_CAP","A",1981,13920,
"USA","GNI","TOT","USD_CAP","A",1982,14518,
"USA","GNI","TOT","USD_CAP","A",1983,15423,
"USA","GNI","TOT","USD_CAP","A",1984,17057,
"USA","GNI","TOT","USD_CAP","A",1985,18071,
"USA","GNI","TOT","USD_CAP","A",1986,18765,
"USA","GNI","TOT","USD_CAP","A",1987,19884,
"USA","GNI","TOT","USD_CAP","A",1988,21448,
"USA","GNI","TOT","USD_CAP","A",1989,22630,
"USA","GNI","TOT","USD_CAP","A",1990,23592,
"USA","GNI","TOT","USD_CAP","A",1991,24047,
"USA","GNI","TOT","USD_CAP","A",1992,25048,
"USA","GNI","TOT","USD_CAP","A",1993,25871,
"USA","GNI","TOT","USD_CAP","A",1994,27216,
"USA","GNI","TOT","USD_CAP","A",1995,28413,
"USA","GNI","TOT","USD_CAP","A",1996,29831,
"USA","GNI","TOT","USD_CAP","A",1997,31467,
"USA","GNI","TOT","USD_CAP","A",1998,33081,
"USA","GNI","TOT","USD_CAP","A",1999,34687,
"USA","GNI","TOT","USD_CAP","A",2000,36769,
"USA","GNI","TOT","USD_CAP","A",2001,37667,
"USA","GNI","TOT","USD_CAP","A",2002,38389,
"USA","GNI","TOT","USD_CAP","A",2003,39673,
"USA","GNI","TOT","USD_CAP","A",2004,41990,
"USA","GNI","TOT","USD_CAP","A",2005,44485,
"USA","GNI","TOT","USD_CAP","A",2006,47093,
"USA","GNI","TOT","USD_CAP","A",2007,48205,
"USA","GNI","TOT","USD_CAP","A",2008,48219,
"USA","GNI","TOT","USD_CAP","A",2009,46871,
"USA","GNI","TOT","USD_CAP","A",2010,48834,
"USA","GNI","TOT","USD_CAP","A",2011,50754,
"USA","GNI","TOT","USD_CAP","A",2012,53050,
"USA","GNI","TOT","USD_CAP","A",2013,54282,
"USA","GNI","TOT","USD_CAP","A",2014,56664,
"USA","GNI","TOT","USD_CAP","A",2015,58257,
"USA","GNI","TOT","USD_CAP","A",2016,59004,
"USA","GNI","TOT","USD_CAP","A",2017,61394,
"USA","GNI","TOT","USD_CAP","A",2018,64091,
"USA","GNI","TOT","USD_CAP","A",2019,66022,
